Geography,Name,Level,year,"<= $20,000","$20,001 -
$40,000","$40,001 -
$60,000","$60,001 -
$100,000","$100,001 -
$250,000","> $250,000"
NYC,New York City,City,2000,14.9%,14.1%,12.8%,21.0%,29.0%,8.2%
NYC,New York City,City,2020-2024,14.0%,13.1%,11.3%,18.5%,30.8%,12.4%
BX,The Bronx,Boro,2000,22.3%,16.7%,14.9%,21.0%,22.2%,2.8%
BX,The Bronx,Boro,2020-2024,23.4%,18.3%,14.9%,19.2%,20.9%,3.4%
BK,Brooklyn,Boro,2000,18.2%,15.9%,13.9%,20.9%,26.0%,5.1%
BK,Brooklyn,Boro,2020-2024,14.0%,13.1%,11.4%,18.8%,30.9%,11.9%
MN,Manhattan,Boro,2000,13.2%,11.9%,10.5%,18.3%,28.6%,17.6%
MN,Manhattan,Boro,2020-2024,13.1%,10.6%,8.6%,14.4%,30.1%,23.2%
QN,Queens,Boro,2000,9.7%,13.5%,13.0%,23.8%,34.2%,5.8%
QN,Queens,Boro,2020-2024,9.9%,12.5%,11.8%,21.2%,35.8%,8.9%
SI,Staten Island,Boro,2000,8.1%,10.1%,9.9%,20.6%,41.5%,9.8%
SI,Staten Island,Boro,2020-2024,9.0%,10.9%,9.6%,19.7%,39.5%,11.3%
BX 01,Mott Haven/Melrose,Community District,2000,34.9%,21.3%,14.5%,16.4%,11.5%,1.4%
BX 01,Mott Haven/Melrose,Community District,2020-2024,32.5%,23.3%,14.9%,13.3%,14.4%,1.6%
BX 02,Hunts Point/Longwood,Community District,2000,34.9%,21.3%,14.5%,16.4%,11.5%,1.4%
BX 02,Hunts Point/Longwood,Community District,2020-2024,32.5%,23.3%,14.9%,13.3%,14.4%,1.6%
BX 03,Morrisania/Crotona,Community District,2000,34.1%,20.7%,16.1%,15.7%,12.4%,1.0%
BX 03,Morrisania/Crotona,Community District,2020-2024,32.8%,20.7%,16.1%,18.6%,10.8%,1.0%
BX 04,Highbridge/Concourse,Community District,2000,28.7%,18.1%,16.7%,21.2%,13.8%,1.4%
BX 04,Highbridge/Concourse,Community District,2020-2024,26.0%,18.0%,16.9%,20.2%,17.0%,1.9%
BX 05,Fordham/University Heights,Community District,2000,30.7%,19.2%,14.0%,20.7%,13.9%,1.5%
BX 05,Fordham/University Heights,Community District,2020-2024,25.7%,19.3%,14.0%,21.7%,18.1%,1.3%
BX 06,Belmont/East Tremont,Community District,2000,34.1%,20.7%,16.1%,15.7%,12.4%,1.0%
BX 06,Belmont/East Tremont,Community District,2020-2024,32.8%,20.7%,16.1%,18.6%,10.8%,1.0%
BX 07,Kingsbridge Heights/Bedford,Community District,2000,22.5%,18.1%,15.9%,22.6%,19.3%,1.7%
BX 07,Kingsbridge Heights/Bedford,Community District,2020-2024,28.4%,20.6%,18.0%,15.6%,15.6%,1.8%
BX 08,Riverdale/Fieldston,Community District,2000,12.4%,13.3%,11.5%,23.5%,31.2%,8.1%
BX 08,Riverdale/Fieldston,Community District,2020-2024,12.9%,12.4%,12.5%,20.4%,33.1%,8.7%
