areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Astoria,Queens,neighborhood,1600.0,1650.0,1600.0,1600.0,1662.0,1662.0,1600.0,1500.0,1600.0,1700.0,1650.0,1650.0,1600.0,1600.0,1750.0,1825.0,1900.0,1900.0,1840.0,1900.0,1900.0,1900.0,1900.0,2000.0,1895.0,1925.0,1905.0,2150.0,2085.0,1950.0,2025.0,2200.0,2200.0,2100.0,2000.0,2000.0,1950.0,1950.0,1900.0,2000.0,2175.0,2100.0,2200.0,2175.0,2150.0,2100.0,2000.0,2000.0,2095.0,2100.0,2050.0,2050.0,2100.0,2150.0,2150.0,2100.0,2195.0,2200.0,2200.0,2100.0,2200.0,2200.0,2200.0,2300.0,2300.0,2295.0,2300.0,2300.0,2200.0,2250.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2350.0,2300.0,2395.0,2350.0,2300.0,2300.0,2295.0,2250.0,2200.0,2250.0,2250.0,2250.0,2300.0,2300.0,2300.0,2295.0,2200.0,2200.0,2200.0,2195.0,2150.0,2145.0,2149.0,2200.0,2200.0,2225.0,2275.0,2275.0,2200.0,2175.0,2145.0,2195.0,2199.0,2200.0,2200.0,2250.0,2300.0,2350.0,2350.0,2350.0,2354.0,2300.0,2300.0,2350.0,2395.0,2300.0,2300.0,2295.0,2275.0,2250.0,2195.0,2150.0,2000.0,2000.0,1995.0,1950.0,1950.0,1900.0,1950.0,1995.0,2000.0,2100.0,2200.0,2200.0,2200.0,2200.0,2275.0,2250.0,2300.0,2395.0,2395.0,2500.0,2650.0,2600.0,2700.0,2800.0,2700.0,2600.0,2600.0,2695.0,2650.0,2700.0,2775.0,2750.0,2800.0,2899.0,2916.0,2850.0,2850.0,2850.0,2850.0,2800.0,2850.0,2900.0,2900.0,2950.0,2980.0,2950.0,2999.0,2900.0,2900.0,2900.0,2800.0,2850.0,2900.0,2950.0,3000.0,3000.0,3154.0,3300.0,3290.0,3200.0,3199.0,3199.0,3125.0,3150.0,3150.0,3000.0,3100.0,3200.0,3313.0
Auburndale,Queens,neighborhood,1585.0,1490.0,1490.0,2400.0,2400.0,2400.0,,,,,,,,2000.0,1850.0,1850.0,2000.0,2000.0,2000.0,2000.0,2000.0,1950.0,1900.0,1550.0,1600.0,1600.0,2000.0,2100.0,1475.0,1600.0,2100.0,1250.0,1900.0,1600.0,1600.0,2200.0,1450.0,1600.0,1800.0,2100.0,2100.0,,,1695.0,1695.0,1650.0,1595.0,1150.0,1150.0,1700.0,1695.0,1900.0,1900.0,1775.0,1775.0,1895.0,1950.0,2300.0,1695.0,1600.0,1895.0,2250.0,2300.0,2300.0,1995.0,1900.0,1950.0,1900.0,1995.0,2000.0,1650.0,1800.0,1900.0,1795.0,1795.0,1850.0,2100.0,2300.0,2250.0,1995.0,2100.0,2195.0,2100.0,2195.0,2200.0,2195.0,2195.0,2295.0,1850.0,2195.0,1995.0,1795.0,1845.0,1495.0,1650.0,2300.0,2200.0,2300.0,2095.0,2095.0,1850.0,2200.0,2095.0,2000.0,1895.0,1995.0,1995.0,1900.0,2095.0,1995.0,1995.0,1995.0,2000.0,1900.0,1650.0,2195.0,2195.0,2000.0,2095.0,1895.0,1895.0,1900.0,1900.0,1595.0,1995.0,1995.0,1895.0,2000.0,2000.0,2000.0,2000.0,2154.0,2200.0,2100.0,2195.0,2000.0,2000.0,2195.0,2154.0,2154.0,2595.0,2500.0,2600.0,1800.0,2514.0,2514.0,2500.0,2400.0,2500.0,2514.0,2514.0,2600.0,2600.0,2400.0,2200.0,2167.0,2300.0,2700.0,2100.0,2000.0,2050.0,2250.0,2495.0,2874.0,2874.0,2874.0,2634.0,2300.0,2300.0,2274.0,3200.0,2850.0,2850.0,2700.0,2300.0,2400.0,2299.0,2299.0,2695.0,2650.0,2775.0,2399.0,2399.0,2400.0,2400.0,2400.0,2305.0,2305.0,3500.0,3395.0,2800.0,3200.0,2750.0,2450.0,2600.0,2366.0,2750.0,2450.0
Bath Beach,Brooklyn,neighborhood,1350.0,1350.0,1350.0,1350.0,1700.0,1700.0,,1300.0,1300.0,1300.0,,,,1300.0,950.0,1300.0,1300.0,1295.0,1075.0,1075.0,1075.0,1075.0,1200.0,1075.0,1075.0,1075.0,1175.0,1295.0,1295.0,1375.0,1350.0,1345.0,1250.0,1295.0,1295.0,1045.0,1045.0,1125.0,1600.0,1200.0,1125.0,1125.0,1200.0,1395.0,1350.0,1350.0,1395.0,1395.0,1475.0,1395.0,1475.0,2100.0,2200.0,1800.0,1900.0,1750.0,1700.0,1450.0,1850.0,1700.0,1700.0,1500.0,1700.0,2000.0,1795.0,1650.0,1700.0,1700.0,1700.0,2000.0,1995.0,1995.0,1895.0,1895.0,1895.0,2100.0,2200.0,2000.0,2000.0,2100.0,2300.0,2100.0,1900.0,1900.0,2200.0,1950.0,1850.0,1850.0,1900.0,2000.0,2000.0,1900.0,1850.0,1895.0,2000.0,1995.0,1950.0,1995.0,1999.0,1999.0,2000.0,1950.0,1700.0,1675.0,1675.0,1750.0,1725.0,1675.0,1700.0,1550.0,1695.0,1675.0,1695.0,1750.0,1799.0,1795.0,1795.0,1900.0,1795.0,1795.0,1795.0,1900.0,1950.0,2200.0,1600.0,1900.0,1900.0,2000.0,1795.0,1775.0,1775.0,1695.0,1695.0,1750.0,1800.0,1750.0,1715.0,1799.0,1700.0,1750.0,1699.0,1700.0,1750.0,1750.0,1750.0,1600.0,1850.0,1850.0,1850.0,1775.0,1800.0,1900.0,2050.0,2000.0,1700.0,1700.0,1750.0,1960.0,1968.0,2100.0,2200.0,1850.0,1950.0,2250.0,2299.0,2249.0,2200.0,2200.0,2099.0,1899.0,2000.0,2295.0,2149.0,2000.0,1995.0,2099.0,2200.0,2050.0,1950.0,2500.0,2100.0,1900.0,1895.0,1949.0,1975.0,1995.0,2200.0,2250.0,2200.0,2100.0,2000.0,1995.0,1995.0,2150.0,2150.0,2150.0,2100.0,2100.0
Battery Park City,Manhattan,neighborhood,3495.0,3250.0,3200.0,3195.0,3000.0,3250.0,3195.0,3160.0,3360.0,3415.0,3295.0,3295.0,3295.0,3050.0,3175.0,3295.0,3665.0,3685.0,3700.0,3700.0,3840.0,3900.0,3700.0,3788.0,3500.0,3550.0,3500.0,3595.0,3795.0,3910.0,4500.0,4500.0,4250.0,4200.0,4300.0,4195.0,3975.0,3500.0,3500.0,3580.0,3935.0,3990.0,3950.0,3875.0,3900.0,4126.0,3945.0,3895.0,3850.0,3995.0,4000.0,3545.0,3650.0,4750.0,4300.0,4202.0,4550.0,4100.0,3950.0,3550.0,3850.0,3950.0,3995.0,4050.0,4570.0,4700.0,4700.0,5000.0,5150.0,4950.0,5300.0,4965.0,4750.0,4800.0,4700.0,4985.0,4875.0,4900.0,4750.0,4850.0,4900.0,4328.0,4150.0,4055.0,4200.0,3995.0,3910.0,4050.0,4500.0,4500.0,4700.0,4560.0,4680.0,4675.0,3825.0,3895.0,4200.0,4100.0,4100.0,4280.0,4695.0,4735.0,4655.0,4900.0,5000.0,4900.0,4772.0,4350.0,4450.0,4595.0,4310.0,4450.0,4999.0,5200.0,5408.0,4795.0,4695.0,5150.0,5455.0,5100.0,4500.0,4320.0,4446.0,4225.0,4900.0,4950.0,4320.0,4243.0,4090.0,3937.0,3750.0,3882.0,3800.0,3950.0,3995.0,3995.0,3895.0,4055.0,4330.0,4425.0,4350.0,4255.0,4441.0,5265.0,5044.0,5044.0,4775.0,4725.0,5045.0,5250.0,5775.0,5750.0,5900.0,5530.0,5055.0,5427.0,5400.0,5600.0,5425.0,5300.0,5750.0,5400.0,5871.0,6250.0,5850.0,5995.0,5500.0,5300.0,5395.0,4895.0,4800.0,5500.0,5350.0,5435.0,6200.0,5950.0,6000.0,5400.0,4650.0,4774.0,5300.0,4800.0,4876.0,5000.0,5527.0,5400.0,5291.0,5516.0,5393.0,5263.0,5115.0,5100.0,5130.0,5149.0,5342.0,5437.0,5780.0,5758.0
Bay Ridge,Brooklyn,neighborhood,1400.0,1400.0,1400.0,1350.0,1350.0,1395.0,1300.0,1400.0,1350.0,1500.0,1600.0,1600.0,1500.0,1500.0,1500.0,1525.0,1650.0,1550.0,1700.0,1750.0,1700.0,1600.0,1800.0,1750.0,1799.0,1650.0,1650.0,1800.0,2100.0,1450.0,1450.0,1695.0,1850.0,1850.0,1950.0,2300.0,1550.0,1500.0,2000.0,1800.0,1650.0,1600.0,1600.0,1650.0,1700.0,1650.0,1600.0,1650.0,1600.0,1600.0,1600.0,1600.0,1875.0,1950.0,1950.0,1850.0,1850.0,1800.0,1800.0,1700.0,1700.0,1700.0,1700.0,1795.0,1800.0,1850.0,1850.0,1895.0,1898.0,1850.0,1850.0,1895.0,1900.0,2000.0,2000.0,2100.0,2075.0,2125.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2000.0,2000.0,1950.0,1995.0,2000.0,2000.0,2000.0,1899.0,1899.0,1900.0,1825.0,1850.0,2000.0,1995.0,1900.0,1995.0,1950.0,1950.0,1850.0,1975.0,2000.0,1999.0,1965.0,1899.0,1900.0,1999.0,2000.0,1975.0,1900.0,1900.0,1900.0,1975.0,1895.0,1900.0,2000.0,1900.0,1899.0,2000.0,2075.0,2049.0,1950.0,2000.0,2000.0,1995.0,1999.0,1850.0,1800.0,1750.0,1775.0,1775.0,1800.0,1750.0,1750.0,1750.0,1750.0,1800.0,1790.0,1775.0,1800.0,1775.0,1850.0,1895.0,1900.0,2000.0,2150.0,2300.0,2100.0,2399.0,2300.0,2250.0,2100.0,2200.0,2350.0,2399.0,2200.0,2100.0,2250.0,2350.0,2300.0,2400.0,2550.0,2400.0,2400.0,2400.0,2299.0,2313.0,2250.0,2250.0,2350.0,2400.0,2450.0,2400.0,2450.0,2300.0,2385.0,2300.0,2350.0,2500.0,2400.0,2499.0,2399.0,2500.0,2500.0,2600.0,2400.0,2500.0,2500.0,2595.0,2650.0,2375.0,2395.0,2500.0,2675.0,2700.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,990.0,990.0,990.0,990.0,1650.0,1650.0,1650.0,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,1475.0,1700.0,1800.0,1800.0,,,,,,1750.0,1750.0,,,2400.0,2495.0,2250.0,2250.0,,,,,1800.0,1800.0,,,,,,,,,,,,,,2200.0,2200.0,,2200.0,2200.0,,,,,,1650.0,,5950.0,5950.0,4250.0,4250.0,2350.0,2350.0,2350.0,2100.0,2100.0,2100.0,2100.0,2200.0,2850.0,2850.0,2850.0,2100.0,2000.0,2000.0,,,,,,,2300.0,3995.0,2300.0,2400.0,,2650.0,,,1400.0,,1500.0,,,2500.0,1500.0,1500.0,,2700.0,2700.0,2696.0,2696.0,2600.0,,,2700.0,3500.0,2700.0,3500.0,,2900.0,3385.0,,3200.0,3200.0,,,,2800.0,2800.0,,,,,,,,,,,5950.0,5950.0,5950.0,5950.0
Bayside,Queens,neighborhood,1750.0,1800.0,1800.0,1650.0,1800.0,1875.0,1900.0,1900.0,1900.0,1900.0,1950.0,1900.0,1900.0,1900.0,1950.0,2000.0,2000.0,1950.0,2000.0,1950.0,1950.0,1900.0,1995.0,1995.0,1900.0,1700.0,1900.0,1850.0,1900.0,1900.0,1850.0,1850.0,1850.0,1895.0,2000.0,1975.0,1900.0,1900.0,2000.0,2100.0,2150.0,2050.0,1850.0,1850.0,1950.0,2150.0,1800.0,1900.0,1795.0,1700.0,1850.0,1850.0,1895.0,2150.0,2200.0,2300.0,2150.0,2200.0,2100.0,2200.0,2200.0,2200.0,2300.0,2250.0,2200.0,2450.0,2300.0,2300.0,2300.0,2300.0,2400.0,2400.0,2500.0,2400.0,2400.0,2500.0,2400.0,2500.0,2400.0,2200.0,2400.0,2250.0,2300.0,2500.0,2500.0,2550.0,2500.0,2400.0,2400.0,2500.0,2500.0,2375.0,2450.0,2400.0,2400.0,2280.0,2500.0,2400.0,2400.0,2300.0,2200.0,2375.0,2400.0,2400.0,2350.0,2500.0,2350.0,2100.0,2150.0,2200.0,2150.0,2000.0,2100.0,2100.0,2000.0,2200.0,2200.0,2200.0,2125.0,2150.0,2100.0,1900.0,2000.0,1875.0,1950.0,2175.0,2100.0,2075.0,2000.0,1975.0,2000.0,2090.0,2000.0,1895.0,1850.0,1850.0,1850.0,2150.0,2075.0,2200.0,2200.0,2250.0,2200.0,2300.0,2150.0,2200.0,2250.0,2500.0,2300.0,2500.0,2395.0,2300.0,2300.0,2650.0,2500.0,2500.0,2450.0,2500.0,2500.0,2600.0,2350.0,2300.0,2600.0,2600.0,2700.0,2500.0,2500.0,2500.0,2500.0,2500.0,2400.0,2495.0,2500.0,2600.0,2900.0,2800.0,2795.0,2900.0,2900.0,2800.0,2450.0,2450.0,2455.0,2700.0,2800.0,2600.0,2900.0,2800.0,2550.0,3000.0,2800.0,2859.0,2850.0,2875.0,2850.0,2800.0,2795.0,3000.0
Bedford Park,Bronx,neighborhood,895.0,895.0,845.0,845.0,875.0,795.0,795.0,,,1225.0,1225.0,875.0,875.0,875.0,1150.0,1150.0,1300.0,1300.0,1300.0,1245.0,1045.0,950.0,875.0,950.0,950.0,950.0,1125.0,975.0,975.0,1125.0,1050.0,945.0,975.0,1095.0,1100.0,1050.0,875.0,1100.0,1100.0,975.0,1025.0,1195.0,1150.0,1050.0,1100.0,1145.0,1195.0,1000.0,1000.0,925.0,1000.0,1100.0,1000.0,1050.0,1262.0,1300.0,1400.0,1400.0,1400.0,1400.0,1350.0,1400.0,1400.0,1400.0,1275.0,1324.0,1350.0,1450.0,1499.0,1575.0,1475.0,1525.0,1450.0,1450.0,1395.0,1450.0,1450.0,1395.0,1475.0,1475.0,1500.0,1525.0,1450.0,1450.0,1400.0,1400.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1450.0,1500.0,1565.0,1600.0,1499.0,1300.0,1550.0,1595.0,1450.0,1550.0,1550.0,1550.0,1425.0,1795.0,1600.0,1850.0,1875.0,1650.0,1650.0,1550.0,1550.0,1595.0,1600.0,1775.0,1786.0,1750.0,1750.0,1700.0,1699.0,1875.0,1600.0,1600.0,1650.0,1650.0,1595.0,1695.0,1695.0,1552.0,1650.0,1625.0,1699.0,1625.0,1850.0,1695.0,1695.0,1600.0,1625.0,1625.0,1902.0,1750.0,1550.0,1625.0,1700.0,1695.0,1795.0,1950.0,1750.0,1750.0,1776.0,2295.0,1795.0,1795.0,1650.0,1750.0,1695.0,1780.0,1900.0,1950.0,1900.0,1700.0,1895.0,1950.0,1950.0,1900.0,1900.0,1675.0,1895.0,1895.0,2052.0,1927.0,1868.0,1995.0,1927.0,2053.0,2000.0,1800.0,1900.0,1995.0,2350.0,1850.0,1700.0,1900.0,1995.0,2030.0,1900.0,2150.0,2050.0,2000.0,1995.0,1795.0,2000.0,2100.0,1800.0,2000.0,2050.0,2170.0
Bedford-Stuyvesant,Brooklyn,neighborhood,1700.0,1695.0,1650.0,1650.0,1695.0,1600.0,1560.0,1500.0,1500.0,1675.0,1650.0,1750.0,1700.0,1600.0,1500.0,1500.0,1500.0,1600.0,1650.0,1650.0,1650.0,1675.0,1750.0,1675.0,1650.0,1650.0,1775.0,1850.0,1800.0,1800.0,1750.0,1750.0,1800.0,1800.0,1820.0,1999.0,1975.0,1975.0,1950.0,1990.0,2000.0,2100.0,2200.0,2260.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2250.0,2299.0,2375.0,2350.0,2400.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2375.0,2399.0,2450.0,2475.0,2495.0,2450.0,2400.0,2375.0,2350.0,2383.0,2399.0,2350.0,2430.0,2500.0,2499.0,2500.0,2500.0,2499.0,2499.0,2450.0,2400.0,2400.0,2375.0,2350.0,2399.0,2449.0,2499.0,2495.0,2499.0,2475.0,2450.0,2400.0,2350.0,2350.0,2300.0,2395.0,2450.0,2500.0,2500.0,2595.0,2599.0,2550.0,2501.0,2485.0,2475.0,2448.0,2450.0,2500.0,2500.0,2567.0,2550.0,2600.0,2639.0,2612.0,2653.0,2620.0,2500.0,2550.0,2545.0,2538.0,2550.0,2567.0,2550.0,2500.0,2500.0,2400.0,2300.0,2300.0,2250.0,2250.0,2250.0,2250.0,2299.0,2375.0,2450.0,2599.0,2650.0,2700.0,2700.0,2750.0,2800.0,2850.0,2875.0,2844.0,2850.0,3000.0,3095.0,3200.0,3200.0,3199.0,3100.0,2999.0,2995.0,3000.0,2999.0,3000.0,3100.0,3200.0,3250.0,3295.0,3200.0,3150.0,3100.0,3000.0,3000.0,3000.0,3095.0,3150.0,3200.0,3295.0,3299.0,3300.0,3300.0,3300.0,3250.0,3199.0,3195.0,3150.0,3170.0,3170.0,3300.0,3400.0,3495.0,3500.0,3395.0,3350.0,3398.0,3250.0,3250.0,3250.0,3375.0,3350.0,3500.0,3500.0,3600.0
Bellerose,Queens,neighborhood,1150.0,1150.0,1150.0,975.0,975.0,950.0,950.0,875.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2500.0,2200.0,2200.0,1800.0,1700.0,1700.0,1700.0,1900.0,2000.0,1900.0,2000.0,2000.0,2100.0,2100.0,2000.0,1700.0,1865.0,1865.0,1400.0,2200.0,1865.0,1700.0,1700.0,1650.0,1450.0,1675.0,1850.0,1950.0,2000.0,1850.0,1950.0,2000.0,2000.0,2200.0,2499.0,2400.0,2250.0,1850.0,2000.0,2000.0,2200.0,1800.0,1800.0,1950.0,1950.0,1500.0,1300.0,1500.0,1300.0,1650.0,2000.0,2300.0,2000.0,1800.0,2550.0,2550.0,2550.0,1350.0,2550.0,1900.0,2550.0,1900.0,1900.0,2300.0,1800.0,1700.0,1700.0,1700.0,2000.0,2550.0,2000.0,1999.0,2395.0,2150.0,2395.0,1600.0,1650.0,1650.0,2550.0,2000.0,1450.0,1700.0,2300.0,2300.0,2300.0,2100.0,2195.0,,1450.0,1800.0,1650.0,1500.0,1500.0,1725.0,2500.0,2200.0,1750.0,1550.0,,,2500.0,2500.0,1500.0,1400.0,,2400.0,3250.0,1699.0,1699.0,1750.0,1750.0,2399.0,2299.0,2400.0,2400.0,,2500.0,2550.0,2550.0,2350.0,2350.0,,3800.0,3800.0,2800.0,2650.0,2615.0,,2600.0,3400.0,4000.0,1600.0,1600.0,,,2500.0,2550.0,2550.0,1950.0,2100.0,2100.0,3000.0,2600.0,3200.0,2500.0,2400.0,2300.0,2200.0,1875.0,,2000.0,2000.0
