1 CCD | 9


Income and Benefits 
 Show Reliability Data,2006-2010,2006-2010,2006-2010,2006-2010,2006-2010,2019-2023,2019-2023,2019-2023,2019-2023,2019-2023,"Change, 2006-2010 to 2019-2023","Change, 2006-2010 to 2019-2023","Change, 2006-2010 to 2019-2023","Change, 2006-2010 to 2019-2023","Change, 2006-2010 to 2019-2023","Change, 2006-2010 to 2019-2023"
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number,Number,Percent ,Percent ,Pctg. Pt.,Pctg. Pt.
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"69,121",804,0.7,100.0%,,"80,982","1,680",1.3,100.0%,,"11,861 ","1,862",17.2% ,2.8%,0.0,0.0
"Household income of less than $10,000",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$10,000 to $14,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$15,000 to $24,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$25,000 to $34,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$35,000 to $49,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$50,000 to $74,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$75,000 to $99,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$100,000 to $149,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$150,000 to $199,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$200,000 or more",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
Median household income (dollars) ,"47,300","2,134",2.7,,,"58,045","2,583",2.7,,,"10,745 ","3,351",22.7% ,7.8%,,
Mean household income (dollars) ,"74,496","3,233",2.6,,,"96,512","4,821",3.0,,,"22,016 ","5,805",29.6% ,8.6%,,
,,,,,,,,,,,,,,,,
Households with Social Security,"15,841",720,2.8,22.9%,1.0%,"19,611","1,152",3.6,24.2%,1.3%,"3,770 ","1,358",23.8% ,9.2%,1.3,1.6
Households with retirement income,"7,774",593,4.6,11.2%,0.8%,"11,302",877,4.7,14.0%,1.0%,"3,528 ","1,059",45.4% ,15.8%,2.8 ,1.3
Households with Supplemental Security Income,"6,513",547,5.1,9.4%,0.8%,"7,326",860,7.1,9.0%,1.0%,813,"1,019",12.5%,16.2%,-0.4,1.3
Households with cash public assistance income,"4,174",464,6.8,6.0%,0.7%,"5,807",762,8.0,7.2%,0.9%,"1,633 ",892,39.1% ,23.9%,1.2 ,1.1
Households with Food Stamp/SNAP benefits in the past 12 months,"15,022",775,3.1,21.7%,1.1%,"19,827","1,221",3.7,24.5%,1.4%,"4,805 ","1,446",32.0% ,10.6%,2.8 ,1.8
,,,,,,,,,,,,,,,,
Family households,"34,433",975,1.7,100.0%,,"37,360","1,494",2.4,100.0%,,"2,927 ","1,784",8.5% ,5.3%,0.0,0.0
"Family income of less than $10,000",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$10,000 to $14,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$15,000 to $24,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$25,000 to $34,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$35,000 to $49,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$50,000 to $74,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$75,000 to $99,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$100,000 to $149,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$150,000 to $199,999",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
"$200,000 or more",Data for this row are not comparable or are unavailable,,,,,,,,,,,,,,,
Median family income (dollars) ,"54,572","3,119",3.5,,,"69,421","3,773",3.3,,,"14,849 ","4,895",27.2% ,10.0%,,
,,,,,,,,,,,,,,,,
Nonfamily households,"34,688","1,027",1.8,100.0%,,"43,622","1,679",2.3,100.0%,,"8,934 ","1,968",25.8% ,6.1%,0.0,0.0
Median nonfamily income (dollars) ,"38,284","3,106",4.9,,,"45,555","3,765",5.0,,,"7,271 ","4,881",19.0% ,13.8%,,
,,,,,,,,,,,,,,,,
Per capita income (dollars) ,"33,317","1,579",2.9,,,"43,988","2,305",3.2,,,"10,671 ","2,794",32.0% ,9.3%,,
