Geography,Name,Level,Year,Race/Ethnicity,Percent
NYC,New York City,City,2024,pop_race_asian_pct,15.1%
NYC,New York City,City,2024,pop_race_black_pct,20.0%
NYC,New York City,City,2024,pop_race_hisp_pct,28.7%
NYC,New York City,City,2024,pop_race_white_pct,30.7%
NYC,New York City,City,2000,pop_race_asian_pct,9.7%
NYC,New York City,City,2000,pop_race_black_pct,24.5%
NYC,New York City,City,2000,pop_race_hisp_pct,27.0%
NYC,New York City,City,2000,pop_race_white_pct,35.0%
BX,The Bronx,Boro,2024,pop_race_asian_pct,4.3%
BX,The Bronx,Boro,2024,pop_race_black_pct,28.4%
BX,The Bronx,Boro,2024,pop_race_hisp_pct,55.4%
BX,The Bronx,Boro,2024,pop_race_white_pct,8.6%
BX,The Bronx,Boro,2000,pop_race_asian_pct,2.9%
BX,The Bronx,Boro,2000,pop_race_black_pct,30.9%
BX,The Bronx,Boro,2000,pop_race_hisp_pct,48.7%
BX,The Bronx,Boro,2000,pop_race_white_pct,14.5%
BK,Brooklyn,Boro,2024,pop_race_asian_pct,12.6%
BK,Brooklyn,Boro,2024,pop_race_black_pct,25.8%
BK,Brooklyn,Boro,2024,pop_race_hisp_pct,19.1%
BK,Brooklyn,Boro,2024,pop_race_white_pct,36.3%
BK,Brooklyn,Boro,2000,pop_race_asian_pct,7.5%
BK,Brooklyn,Boro,2000,pop_race_black_pct,34.4%
BK,Brooklyn,Boro,2000,pop_race_hisp_pct,19.8%
BK,Brooklyn,Boro,2000,pop_race_white_pct,34.7%
MN,Manhattan,Boro,2024,pop_race_asian_pct,12.9%
MN,Manhattan,Boro,2024,pop_race_black_pct,12.6%
MN,Manhattan,Boro,2024,pop_race_hisp_pct,24.5%
MN,Manhattan,Boro,2024,pop_race_white_pct,44.7%
MN,Manhattan,Boro,2000,pop_race_asian_pct,9.4%
MN,Manhattan,Boro,2000,pop_race_black_pct,15.2%
MN,Manhattan,Boro,2000,pop_race_hisp_pct,27.0%
MN,Manhattan,Boro,2000,pop_race_white_pct,46.0%
QN,Queens,Boro,2024,pop_race_asian_pct,26.3%
QN,Queens,Boro,2024,pop_race_black_pct,16.3%
QN,Queens,Boro,2024,pop_race_hisp_pct,28.5%
QN,Queens,Boro,2024,pop_race_white_pct,22.5%
QN,Queens,Boro,2000,pop_race_asian_pct,17.4%
QN,Queens,Boro,2000,pop_race_black_pct,19.2%
QN,Queens,Boro,2000,pop_race_hisp_pct,25.0%
QN,Queens,Boro,2000,pop_race_white_pct,32.7%
SI,Staten Island,Boro,2024,pop_race_asian_pct,14.3%
SI,Staten Island,Boro,2024,pop_race_black_pct,8.0%
SI,Staten Island,Boro,2024,pop_race_hisp_pct,19.6%
SI,Staten Island,Boro,2024,pop_race_white_pct,53.9%
SI,Staten Island,Boro,2000,pop_race_asian_pct,5.6%
SI,Staten Island,Boro,2000,pop_race_black_pct,8.9%
SI,Staten Island,Boro,2000,pop_race_hisp_pct,12.1%
SI,Staten Island,Boro,2000,pop_race_white_pct,71.3%
BX 01,Mott Haven/Melrose,Community District,2024,pop_race_asian_pct,0.7%
BX 01,Mott Haven/Melrose,Community District,2024,pop_race_black_pct,23.3%
BX 01,Mott Haven/Melrose,Community District,2024,pop_race_hisp_pct,71.9%
BX 01,Mott Haven/Melrose,Community District,2024,pop_race_white_pct,1.6%
BX 01,Mott Haven/Melrose,Community District,2000,pop_race_asian_pct,0.4%
BX 01,Mott Haven/Melrose,Community District,2000,pop_race_black_pct,24.5%
BX 01,Mott Haven/Melrose,Community District,2000,pop_race_hisp_pct,72.5%
BX 01,Mott Haven/Melrose,Community District,2000,pop_race_white_pct,1.3%
BX 02,Hunts Point/Longwood,Community District,2024,pop_race_asian_pct,0.7%
BX 02,Hunts Point/Longwood,Community District,2024,pop_race_black_pct,23.3%
BX 02,Hunts Point/Longwood,Community District,2024,pop_race_hisp_pct,71.9%
BX 02,Hunts Point/Longwood,Community District,2024,pop_race_white_pct,1.6%
BX 02,Hunts Point/Longwood,Community District,2000,pop_race_asian_pct,0.4%
BX 02,Hunts Point/Longwood,Community District,2000,pop_race_black_pct,24.5%
BX 02,Hunts Point/Longwood,Community District,2000,pop_race_hisp_pct,72.5%
BX 02,Hunts Point/Longwood,Community District,2000,pop_race_white_pct,1.3%
BX 03,Morrisania/Crotona,Community District,2024,pop_race_asian_pct,0.8%
BX 03,Morrisania/Crotona,Community District,2024,pop_race_black_pct,34.0%
BX 03,Morrisania/Crotona,Community District,2024,pop_race_hisp_pct,59.1%
BX 03,Morrisania/Crotona,Community District,2024,pop_race_white_pct,4.1%
BX 03,Morrisania/Crotona,Community District,2000,pop_race_asian_pct,0.8%
BX 03,Morrisania/Crotona,Community District,2000,pop_race_black_pct,34.5%
BX 03,Morrisania/Crotona,Community District,2000,pop_race_hisp_pct,57.3%
BX 03,Morrisania/Crotona,Community District,2000,pop_race_white_pct,5.4%
BX 04,Highbridge/Concourse,Community District,2024,pop_race_asian_pct,0.9%
BX 04,Highbridge/Concourse,Community District,2024,pop_race_black_pct,30.2%
BX 04,Highbridge/Concourse,Community District,2024,pop_race_hisp_pct,63.6%
BX 04,Highbridge/Concourse,Community District,2024,pop_race_white_pct,3.3%
BX 04,Highbridge/Concourse,Community District,2000,pop_race_asian_pct,1.2%
BX 04,Highbridge/Concourse,Community District,2000,pop_race_black_pct,36.5%
BX 04,Highbridge/Concourse,Community District,2000,pop_race_hisp_pct,58.2%
BX 04,Highbridge/Concourse,Community District,2000,pop_race_white_pct,1.5%
BX 05,Fordham/University Heights,Community District,2024,pop_race_asian_pct,3.9%
BX 05,Fordham/University Heights,Community District,2024,pop_race_black_pct,17.2%
BX 05,Fordham/University Heights,Community District,2024,pop_race_hisp_pct,71.3%
BX 05,Fordham/University Heights,Community District,2024,pop_race_white_pct,5.3%
BX 05,Fordham/University Heights,Community District,2000,pop_race_asian_pct,1.6%
